year,gdp_current_usd,inflation_annual,lending_interest_rate,population,unemployment
2000,69171451627.2465,6.93329215565161,21.2741666666667,126382494.0,3.963
2001,73557840064.489,18.8736462093862,23.4383333333333,129862595.0,3.91
2002,95054059302.6995,12.8765792031099,24.7708333333333,133471989.0,3.681
2003,104738954264.226,14.0317836131437,20.7141666666667,137202644.0,3.648
2004,135764731645.611,14.9980338183251,19.1808333333333,141057045.0,3.601
2005,175670569969.346,17.8634933661605,17.9483333333333,145017253.0,3.734
2006,238454997161.48,8.22522152017048,16.8933333333333,149077334.0,3.756
2007,278260846800.103,5.3880079685863,16.9391666666667,153267261.0,3.799
2008,339476276257.793,11.5810751748252,15.1358333333333,157595014.0,3.795
2009,295008835380.997,12.5378277304689,18.9908333333333,162049464.0,3.766
2010,366990417129.04,13.7400521363694,17.585,166642886.0,3.746
2011,414466676831.16,10.8261371880017,16.02,171379598.0,3.77
2012,463971018239.281,12.2242413020583,16.7916666666667,176200625.0,3.76
2013,520117180313.906,8.49551838265678,16.7225,181049443.0,3.711
2014,574183763411.508,8.04741087967907,16.5483333333333,185896915.0,3.902
2015,493026682800.63,9.00943498007699,16.8491666666667,190671878.0,4.135
2016,404649125252.16,15.6968126387972,16.8680157641191,195443700.0,4.499
2017,375745731053.427,16.5022662139641,17.5533333333333,200254579.0,4.828
2018,421739251509.08,12.0951065173432,16.9038969646886,204938755.0,5.067
2019,474517490844.461,11.3964223378115,15.3765869808333,209485641.0,5.206
2020,432198898467.795,13.2460234276597,13.6420216718796,213996181.0,5.742
2021,440833635873.827,16.9528457221608,11.4831327947137,218529286.0,5.45
2022,477403400101.174,18.8471877843274,12.3345442352326,223150896.0,3.821
2023,363846332834.618,24.6595502031139,14.010553734975,227882945.0,3.074
2024,187759703099.801,33.2420966545405,,232679478.0,2.989
